ID,st_vseh,delez_izbranih_tock,relativna_napaka_ploscine,relativna_napaka_obseg
0,50,8.0,43.811698258572754,74.05189040879503
1,50,8.0,37.29900896196765,70.58624150524831
2,50,8.0,26.61406245647325,63.77177026893504
3,50,8.0,12.686296647693638,39.55183245278542
4,50,8.0,14.159620437521298,43.76071782093172
5,50,8.0,32.492124963981084,63.15249903557799
6,50,8.0,16.936061440404885,44.537440900430724
7,50,8.0,20.117086677784087,50.74730034988127
8,50,8.0,24.560870813858827,56.087272226614964
9,50,8.0,67.40855834955386,88.11288078255309
10,60,6.666666666666667,12.589957553197223,47.22436635049518
11,60,6.666666666666667,20.17359410877158,59.047623882898364
12,60,6.666666666666667,32.579642504601054,65.0006308080498
13,60,6.666666666666667,18.482392316819357,47.94175754393548
14,60,6.666666666666667,47.97285042795336,74.97144153618117
15,60,6.666666666666667,39.79657677326753,71.12570886909396
16,60,6.666666666666667,26.25673291095866,55.48356992402793
17,60,6.666666666666667,37.373251726077115,68.61256447796622
18,60,6.666666666666667,17.59907038758807,50.297381043307944
19,60,6.666666666666667,44.35869515323076,75.68351212630921
20,70,5.714285714285714,41.119610983998186,70.9517906579311
21,70,5.714285714285714,27.596176851409737,69.71286632083331
22,70,5.714285714285714,25.64375145360964,58.580581410002786
23,70,5.714285714285714,27.886957027890062,60.52782329771308
24,70,5.714285714285714,34.08886427216824,64.90781976631823
25,70,5.714285714285714,22.620192095957066,58.02803006221324
26,70,5.714285714285714,18.727610831501025,48.310101025513774
27,70,5.714285714285714,21.67872735786787,56.70577635288193
28,70,5.714285714285714,32.00956324345832,65.57723766471605
29,70,5.714285714285714,18.08256908212971,49.44447182063861
30,80,5.0,18.795275656208247,46.583252662114674
31,80,5.0,18.854399044865474,51.94265787636231
32,80,5.0,28.1169810493722,61.38122069290316
33,80,5.0,41.48502073161402,71.35509661132768
34,80,5.0,48.664217758158976,74.79734978995185
35,80,5.0,31.79578364025643,64.33355084091176
36,80,5.0,60.48229507396148,85.53307876131498
37,80,5.0,24.581825710442416,58.73658173842772
38,80,5.0,16.331043971861163,49.65949788318294
39,80,5.0,23.619316969382936,52.21442517190803
40,90,4.444444444444445,13.260277903026093,49.03358491800006
41,90,4.444444444444445,39.97358899828222,71.24389504485848
42,90,4.444444444444445,34.900714683665385,65.8608989092813
43,90,4.444444444444445,31.46510807972919,67.16741027037929
44,90,4.444444444444445,43.38951472729495,75.44629879080665
45,90,4.444444444444445,56.54016172991332,82.17213074510454
46,90,4.444444444444445,34.59216018130394,71.54282304720812
47,90,4.444444444444445,30.911359098425734,64.78171774920526
48,90,4.444444444444445,41.967412236501424,72.83983388322052
49,90,4.444444444444445,25.065774083788483,58.453552270371084
