ID	st_vseh	delez_izbranih_tock	relativna_napaka_ploscine_1	relativna_napaka_obseg_1	relativna_napaka_ploscine_krog	relativna_napaka_obseg_krog
0	50	8.0	20.986141548363463	65.66397297383381	62.24748147736974	20.06097586788501
1	50	8.0	21.370816508040065	51.44019487920167	66.94691608294688	21.416370040928236
2	50	8.0	31.19880695127692	60.96588348966544	79.20556870420045	24.051246664254837
3	50	8.0	13.127980046280925	38.55991071691383	115.03962245740904	34.64332312693952
4	50	8.0	32.65948259523988	67.3145240617029	75.34228726492735	23.687655433230866
5	50	8.0	19.893169457970956	55.34594716796256	103.3949159856104	28.60225979218068
6	50	8.0	41.000992925984335	71.09601673382204	61.288178580107754	15.74308344254553
7	50	8.0	40.24910505795617	75.59910925275693	71.87385964765348	22.75927823026485
8	50	8.0	43.95467387873153	71.43052092360972	63.12193664880235	18.964254107817162
9	50	8.0	19.312059790233903	61.76180181803256	67.25281555266594	22.19141180047959
10	50	88.0	97.38712173799034	99.5831999069369	80.33000074708787	23.539235223804987
11	50	92.0	100.0	100.0	64.6659800824957	20.076334234801006
12	50	84.0	100.0	100.0	60.88027415666626	20.799696482235685
13	50	88.0	97.7461541145965	99.7228085209686	85.0586072636512	27.015024156832517
14	50	88.0	100.0	100.0	83.41449969913207	26.517779311178757
15	50	86.0	98.60411244276659	98.8973717661746	59.4089956836392	17.640662174428353
16	50	80.0	99.51175499138213	99.9840822494027	70.48518644882165	22.227070612756304
17	50	82.0	99.87420024536189	99.90716833188371	43.45508087494904	13.21425248899063
18	50	86.0	100.0	100.0	69.281682094719	20.360961847903585
19	50	86.0	100.0	100.0	60.10598088521506	18.522061274707298
20	50	100.0	100.0	100.0	84.98722004860385	25.436911565917146
21	50	88.0	99.43121449294672	99.73309027318388	56.28484421332101	20.55476499902193
22	50	100.0	100.0	100.0	62.28242467409088	15.142277597422016
23	50	96.0	100.0	100.0	87.85692292731201	27.39639606013403
24	50	92.0	100.0	100.0	59.089133352065105	17.40864351134154
25	50	92.0	98.69953891254863	99.23661812115489	84.95137301824968	26.941241347635593
26	50	94.0	100.0	100.0	68.91046853912314	22.385917009042622
27	50	90.0	99.3796058384405	99.66109480723675	53.76892583914156	16.87772685495866
28	50	100.0	100.0	100.0	89.49009740629197	27.491399784919402
29	50	100.0	100.0	100.0	68.30764531258235	19.55922877313796
30	50	94.0	100.0	100.0	43.22423364912603	12.50412691432362
31	50	98.0	99.96259912271994	99.9965162845981	41.10230496307026	13.285592367696353
32	50	100.0	100.0	100.0	83.63356016024106	29.302769067236056
33	50	100.0	100.0	100.0	84.70030837937924	26.9103202594198
34	50	98.0	100.0	100.0	42.65071384429763	11.992559694374874
35	50	98.0	100.0	100.0	53.22613821528795	17.605803746842668
36	50	100.0	100.0	100.0	72.40177899204873	20.309021650064864
37	50	98.0	100.0	100.0	59.33823082205233	17.391945818786667
38	50	100.0	100.0	100.0	90.31528813983944	27.498717233627758
39	50	100.0	100.0	100.0	67.92421738753575	20.173882580515453
40	50	96.0	100.0	100.0	46.49301988656156	14.631360689944273
41	50	98.0	100.0	100.0	65.79770914237156	20.853976727834553
42	50	100.0	100.0	100.0	53.167402332268345	19.217483951384125
43	50	100.0	100.0	100.0	72.46921139790243	21.558935011404166
44	50	100.0	100.0	100.0	74.89924431172368	22.915978179729997
45	50	100.0	100.0	100.0	64.89249659818567	18.48572198034675
46	50	98.0	100.0	100.0	41.881497981980395	12.822052799038211
47	50	100.0	100.0	100.0	69.51978029719774	20.066787559738987
48	50	100.0	100.0	100.0	63.4827205813944	20.60983512147818
49	50	96.0	98.88219805785869	99.8546091652053	79.89487280908821	25.40405018260251
50	50	98.0	100.0	100.0	39.81319703970871	14.194064451881461
51	50	100.0	100.0	100.0	61.909047814501186	18.8134611807837
52	50	98.0	100.0	100.0	72.20012568166104	20.04339281243909
53	50	100.0	100.0	100.0	79.97424042254566	24.352258346608455
54	50	100.0	100.0	100.0	83.160549422952	24.681933451281466
55	50	100.0	100.0	100.0	72.61162193717234	20.882109833992345
56	50	98.0	100.0	100.0	68.92238119449581	22.554492902611795
57	50	100.0	100.0	100.0	66.37165565571841	19.064381162978712
58	50	98.0	100.0	100.0	52.41924454938699	16.063751866041628
59	50	100.0	100.0	100.0	68.7850907048756	22.226086565834706
60	50	100.0	100.0	100.0	50.7873671957529	16.44010212995834
61	50	98.0	100.0	100.0	73.32584378103557	26.461329955163414
