ID	st_vseh	relativna_napaka_ploscine_krog	relativna_napaka_obseg_krog
0	12.5	72.66880566754358	22.893052804775134
1	12.5	139.14487080256905	36.29738832007393
2	12.5	102.75264766803156	26.221563016496184
3	12.5	131.52648167054886	38.93466025517458
4	12.5	143.91418337291566	33.001629535849794
5	12.5	49.547474021779294	14.60346819127641
6	12.5	75.82263702891724	22.625846632481835
7	12.5	114.94251170781862	31.43684117892056
8	12.5	182.09269292895078	46.81463987776861
9	12.5	101.70863710338449	28.772183299322414
10	25.0	68.73289709097176	18.929774623835577
11	25.0	95.54995837729365	26.737841617046815
12	25.0	175.34731549841482	47.77389723924102
13	25.0	122.30692700484276	35.37116048662387
14	25.0	84.57053487243047	25.81302626419502
15	25.0	113.11327613260525	29.1815472715324
16	25.0	119.51029930610888	37.34309649839012
17	25.0	65.17577565088209	19.67461951927297
18	25.0	50.54680913447949	16.112077648137355
19	25.0	115.4485776760428	31.382936811988483
20	37.5	79.0066342019603	21.700670213718887
21	37.5	91.08901624776094	29.226561481679127
22	37.5	79.36355497399913	23.862957762143054
23	37.5	52.73224084632153	15.343524735380337
24	37.5	45.38951120752777	13.179296850465805
25	37.5	66.80957344034285	21.127478266515297
26	37.5	98.34109884203528	27.985264097162986
27	37.5	113.08103010944524	37.77760082099873
28	37.5	61.400211363178194	18.60108737700873
29	37.5	62.398942253453804	16.51685805634699
30	50.0	123.796265625558	37.50542287143355
31	50.0	51.247122187660935	15.030896035179122
32	50.0	83.42499114546207	24.32422285826749
33	50.0	81.42960848224165	23.989120803122006
34	50.0	66.98405708259962	20.897817442726808
35	50.0	81.82310233678069	26.8525551465392
36	50.0	54.823460647477695	16.553297331656264
37	50.0	66.39472621498905	20.740917958627982
38	50.0	41.59401705893407	11.211799282662477
39	50.0	59.21201926890425	19.413566798711308
40	62.5	118.14858270797298	32.680617241452964
41	62.5	61.97648976801777	16.1933585731246
42	62.5	99.8638948317834	30.000544220676336
43	62.5	64.45679543230243	15.519753080641058
44	62.5	66.85182046725498	20.21772180119721
45	62.5	76.07643509338881	24.001376882755974
46	62.5	59.57793889480521	17.750459206867617
47	62.5	89.23711976866124	28.721625649726324
48	62.5	63.78163838192816	21.27457443217479
49	62.5	84.92283644322775	26.514725053032073
50	75.0	71.96675398713211	20.776845992386274
51	75.0	73.35331175159469	20.74067212434202
52	75.0	47.94240319659943	13.929600144238051
53	75.0	61.84754412334552	17.426226906590728
54	75.0	42.17290082311543	12.59415479241114
55	75.0	49.56486981891043	14.071872043615294
56	75.0	42.33241533108381	13.271823032378279
57	75.0	54.7088617845395	17.891553819421212
58	75.0	56.565611580171826	15.251684801693049
59	75.0	95.41752980392428	30.602231787084072
60	87.5	49.05401043626159	14.869389842131358
61	87.5	49.909879633572324	13.676035714356694
