ID	st_vseh	delez_izbranih_tock	relativna_napaka_ploscine	relativna_napaka_obseg
0	50	42.0	13.561596780014662	5.283206622402304
1	50	48.0	5.235666112687473	0.5083030036786208
2	50	40.0	13.06435007165912	5.151138476198129
3	50	44.0	4.968556582791135	2.3454869141483425
4	50	46.0	3.2255955456987917	0.9257541683168607
5	50	46.0	6.3734314090801405	4.251923379224274
6	50	46.0	22.468575477035102	8.01632073985113
7	50	44.0	5.63710640427103	3.113891589447287
8	50	46.0	5.682939868947651	1.7558336768464817
9	50	46.0	4.746635345102222	1.3819444949487307
10	60	36.666666666666664	12.754586507801926	7.210925670836171
11	60	35.0	21.36389919267273	12.858630420138226
12	60	38.333333333333336	27.687298794300713	14.26995913184321
13	60	40.0	14.758482944690696	7.989299580151661
14	60	38.333333333333336	9.785560135181907	2.915366177985103
15	60	38.333333333333336	4.215102025552211	2.6999502995374653
16	60	38.333333333333336	20.05165737156454	12.251026811331144
17	60	33.33333333333333	9.988999265142143	6.493820568535044
18	60	35.0	20.83715589611334	12.220099077357043
19	60	35.0	5.748044419926411	3.4504527024227563
20	70	35.714285714285715	9.746386373109935	5.460297029438317
21	70	34.285714285714285	11.876439329286233	6.3543578044664155
22	70	35.714285714285715	13.158035812169313	6.314695583182902
23	70	30.0	18.371408323820486	8.740958399252422
24	70	32.857142857142854	19.672880626440357	9.798239727045281
25	70	35.714285714285715	19.481406969844013	12.634727897077557
26	70	35.714285714285715	13.853490871179053	10.261075921303313
27	70	34.285714285714285	20.47532793552415	10.465200832977569
28	70	28.57142857142857	23.074741634939542	15.252302062212026
29	70	32.857142857142854	15.928251938690549	7.178080310757713
30	80	30.0	16.202571229280487	8.694473714847064
31	80	31.25	19.497578388345353	10.88750504539806
32	80	31.25	14.861809784539362	5.856971968189818
33	80	30.0	11.922360117379368	5.166607050788442
34	80	27.500000000000004	23.453445983918602	14.961195603951005
35	80	28.749999999999996	11.306544108678484	6.695971076076125
36	80	30.0	13.975092270866158	6.1107639251780705
37	80	30.0	15.71438256899219	4.611767163751102
38	80	31.25	8.871096572434292	3.433943681719069
39	80	31.25	7.687200253325257	3.31151605176148
40	90	27.77777777777778	18.55169097060007	8.41024251201669
41	90	27.77777777777778	18.270740437235204	13.022411743968934
42	90	27.77777777777778	14.456799349764857	10.12119535299864
43	90	27.77777777777778	22.472944321888843	12.969507585821779
44	90	26.666666666666668	12.151720904298035	3.4761736631976374
45	90	27.77777777777778	13.906718458208578	7.876053228540693
46	90	24.444444444444443	14.28909829671737	5.5188835898442745
47	90	26.666666666666668	19.388464522960152	7.223582161006492
48	90	26.666666666666668	19.90506368183492	12.535435826911822
49	90	27.77777777777778	13.906420195849014	5.623835059055614
