ID	st_vseh	delez_izbranih_tock	relativna_napaka_ploscine_1	relativna_napaka_obseg_1	relativna_napaka_ploscine_krog	relativna_napaka_obseg_krog	m	k
0	150	52.666666666666664	99.18036457024253	99.46482102581321	100.0	100.0	10	1
1	150	48.66666666666667	95.2497263599494	96.96989575410473	100.0	100.0	10	1
2	150	54.666666666666664	96.33748665360527	99.2703102502684	13.463027945683278	12.600260404827617	10	3
3	150	56.00000000000001	98.12286385219093	98.64696469206547	23.51267086041209	16.51140338658786	10	3
4	150	51.33333333333333	99.18440835291133	99.75417502073067	60.3256458016196	42.95406188851676	10	5
5	150	49.333333333333336	94.28212316848888	96.55872756630815	3.2901160698957774	8.882223218713623	10	5
6	150	50.66666666666667	97.26142883358915	98.62580141166227	44.25731770923314	29.881195369296538	10	7
7	150	50.66666666666667	98.06077524748119	98.49546616794312	26.716818442650027	19.16851483871215	10	7
8	150	51.33333333333333	94.30002263346984	96.00867467536996	51.521572703616606	36.813377882656205	10	9
9	150	52.666666666666664	93.48587901963894	98.74850666616214	25.12877765710652	18.29397651676284	10	9
10	150	51.33333333333333	97.2258943792534	98.25010799241997	41.66541659904371	11.194768888363832	10	11
11	150	52.0	95.57921004765718	95.49100119297174	55.583041760130556	14.105480000131108	10	11
12	150	50.0	97.36727764201936	98.89248613337367	15.388543516332598	2.2585189742583185	10	13
13	150	52.0	97.54633975007911	99.63572595592245	19.141538116363314	0.4559516889262493	10	13
14	150	52.666666666666664	97.4618487833697	99.0415116001947	52.644363996447055	13.767855982147973	10	15
15	150	52.666666666666664	95.35057584752644	98.59729976280487	42.705571273729454	11.316850819215798	10	15
16	150	51.33333333333333	96.91069857513585	98.31999911850018	0.19392552051382408	5.610503561413207	10	17
17	150	54.0	98.88651585592606	99.57319470700969	20.645436473194927	1.0798148072593556	10	17
18	150	54.0	89.72498960594959	95.61226151545759	9.758397634886004	1.8327076768396555	10	19
19	150	50.66666666666667	99.44784526421458	99.94890673246877	22.044578862788857	1.411056669613838	10	19
20	150	54.666666666666664	96.15971764663166	98.2119732199164	20.07477066915324	0.2402886691549479	10	21
21	150	54.0	95.32960542253032	97.89108280458362	13.491284055280792	1.016078061141418	10	21
22	150	52.666666666666664	97.10558335123578	97.77701962429234	54.552827177198004	13.627066874566976	10	23
23	150	54.666666666666664	94.98689467587837	96.06291657204402	72.99311039838135	19.39885020297281	10	23
24	150	55.333333333333336	96.64000237603345	98.51083516819841	37.11388102752816	8.178582742338985	10	25
25	150	53.333333333333336	98.67748057266044	99.15775722536368	53.04683582700409	15.120679229090229	10	25
26	150	50.0	97.72333964633597	98.37112300468878	36.053070452350724	7.546802601917332	10	27
27	150	54.666666666666664	95.71656035689978	99.03916943865008	26.342486074056424	6.840812262085259	10	27
28	150	48.66666666666667	95.55205159970131	98.96797495492498	43.95454688494511	11.737181003217758	10	29
29	150	51.33333333333333	96.53356038912062	96.88766733142958	22.581861002015636	1.2087774080165792	10	29
30	150	52.0	99.8567548249386	99.99815004436573	17.22658437480498	0.6305545420137225	10	31
31	150	50.66666666666667	96.98778639097651	98.8252011343777	48.953961187142156	14.20856164013766	10	31
32	150	50.66666666666667	95.38524810168866	97.65447779489037	79.98193004983347	25.823072743308924	10	33
33	150	54.0	96.8525919953486	98.94644410351773	64.56626130798905	17.79882239654752	10	33
34	150	52.0	97.4083601235507	97.97199769110614	39.79552778364248	10.064445663713368	10	35
35	150	52.0	98.41582756129515	99.952086962306	30.908910818807104	3.6057620556417147	10	35
36	150	50.0	97.07909305156747	97.79031250736082	60.167544241596715	15.11120125849407	10	37
37	150	52.666666666666664	94.8557750765817	96.063323799869	34.61770416842674	7.882465493141708	10	37
38	150	52.0	93.22236535757075	97.05484034751616	32.07388956593963	8.781441509626337	10	39
39	150	54.0	93.95870524282472	98.77293260066307	56.088193079054996	14.562557608833353	10	39
40	150	54.0	94.21334051930577	96.38889948818556	60.14033122775562	15.340439823425452	10	41
41	150	52.0	93.61436624479177	97.29527218675109	42.488068091147404	11.743194490197077	10	41
42	150	52.0	97.63977055512224	99.36306248631772	28.141359446388403	7.9689260072159565	10	43
43	150	51.33333333333333	95.7066134157087	98.56590603993631	18.27314145354311	2.1132303419605165	10	43
44	150	53.333333333333336	96.04525985963905	97.95045956035027	60.75209188726183	17.884401501722706	10	45
45	150	51.33333333333333	91.28736589768346	96.37562952159098	44.02533606171325	12.846303626464525	10	45
46	150	52.0	96.2654438036461	98.90108641880201	73.45966149278692	19.116301903643837	10	47
47	150	51.33333333333333	93.18602265678953	97.37468384656472	27.068021060301305	5.043086122028632	10	47
48	150	50.0	95.14192287831185	97.59233338579426	40.10153358932186	7.929357431567643	10	49
49	150	53.333333333333336	94.42723401448961	94.93639175484392	68.14460289452151	20.49693100491207	10	49
50	150	80.66666666666666	98.88266026866687	99.90029399664742	100.0	100.0	20	1
51	150	86.66666666666667	99.38240524047905	99.54166212215199	100.0	100.0	20	1
52	150	84.0	100.0	100.0	22.849060344725626	18.08747217154823	20	3
53	150	84.66666666666667	99.11734174990954	99.71912413267607	66.17929005141076	45.677365594481245	20	3
54	150	80.0	99.9078574981518	99.96858263713297	9.412915076893533	10.176735264641671	20	5
