ID	st_vseh	relativna_napaka_ploscine_krog	relativna_napaka_obseg_krog	k
0	101	75.80173258497396	55.171911066094715	5
1	101	9.228375454472278	11.48931209135894	5
2	101	4.243913522744766	11.082627787882009	5
3	101	16.451379826292936	1.1317329060965635	5
4	101	10.731800172775866	12.284832401740655	5
5	101	49.88856005531668	35.42377087613674	5
6	101	13.112605919323004	1.2492503173778662	5
7	101	0.4984878236112862	5.077803613108658	5
8	101	2.526963783916321	5.3604502237796305	5
9	101	23.67474745797585	19.181362067329836	5
10	101	2.7758046306309723	6.047186954714005	5
11	101	5.798938955624949	9.737355949876147	5
12	101	23.176633261000163	19.49853919482566	5
13	101	27.545547761522183	22.61974223811971	5
14	101	47.464830176023675	13.816954766492975	5
15	101	9.131573903824846	12.111904449043088	5
16	101	35.542602102929024	26.148706628124902	5
17	101	24.60820755033166	18.53836391946453	5
18	101	1.8622824346369342	5.455166758783932	5
19	101	30.13129551295873	7.324776642516487	5
20	101	27.331900800444576	2.286841306337413	5
21	101	20.917078840229177	1.7708671756426926	5
22	101	16.634760104558143	0.5423618178766114	5
23	101	22.176864550601127	3.8327648637111564	5
24	101	48.62506129386813	12.4143694574724	5
25	101	27.523367580228353	5.003460522275037	5
26	101	11.62557614626018	11.899254638609854	5
27	101	42.9036390338989	11.65058890382931	5
28	101	10.639789531495419	3.4617416698188923	5
29	101	47.562664532454676	31.73100738595551	5
30	101	48.00765653233679	34.66757024048353	5
31	101	11.728633136726451	13.383036057058288	5
32	101	36.38714732239481	6.8222380690693365	5
33	101	22.390432489730923	2.6792615296383584	5
34	101	17.70206859546265	15.98083581942186	5
35	101	23.20962887648326	19.533988888171887	5
36	101	51.27105333273732	13.310733185960519	5
37	101	46.11155998431085	15.5170577848725	5
38	101	28.541736429694158	4.735266343959876	5
39	101	5.531686540032425	9.847370367298169	5
40	101	80.95938445953219	22.546621645093254	5
41	101	34.41281189531186	25.08919249534615	5
42	101	74.56813261363476	53.64893113383062	5
43	101	4.318610976970105	6.016976905243762	5
44	101	23.378313232252932	18.026833820065306	5
45	101	21.44570081880624	3.3310595998399237	5
46	101	33.16545681749178	23.541218681165695	5
47	101	61.58638889238423	42.2982896237735	5
48	101	8.098512327003686	9.833847637531944	5
49	101	56.140445669591756	35.62980897987252	5
50	101	32.261383843404246	24.445290904236234	5
51	101	6.944413479270878	3.752241478021744	5
52	101	2.432259793037002	7.516292695983193	5
53	101	12.79537025418608	11.666066633630713	5
54	101	34.95374391283385	6.867964923505701	5
55	101	6.706952793917824	9.330185851719722	5
56	101	89.55370849712571	30.518101355560916	5
57	101	39.009843371486134	27.91788358593974	5
