ID	st_vseh	relativna_napaka_ploscine_krog	relativna_napaka_obseg_krog	k
0	51	12.519715371532335	10.540316933009192	3
1	51	24.300418940409763	3.9569823605459264	3
2	51	81.56007424155291	23.680194858600185	3
3	51	53.865017222516165	14.258814717773827	3
4	51	20.61491384545749	15.548910126636947	3
5	51	0.9884268224605021	8.447693014397252	3
6	51	37.79643722828314	26.36219597093979	3
7	51	40.65758697822308	30.14818300224334	3
8	51	66.46872736587537	46.55001722236656	3
9	51	62.65891149831809	44.24592303888254	3
10	51	67.07336444468783	44.584264173227645	3
11	51	2.5461835513709064	9.30292841597108	3
12	51	29.23614257739325	7.469837320291862	3
13	51	50.48674835336316	12.655782128808774	3
14	51	46.345365149346776	31.709161125101478	3
15	51	44.044287495501905	30.27552450209834	3
16	51	8.451228848985334	1.18847095506521	3
17	51	22.80546683093833	2.670308379229429	3
18	51	84.70604316578614	63.011672754823145	3
19	51	10.66983933173473	0.7822019665453657	3
20	51	28.882932958943325	22.62821584707741	3
21	51	48.10868127757523	33.42169270958058	3
22	51	59.24378946989971	16.92738001158338	3
23	51	54.18605150815554	37.92003595699728	3
24	51	3.611260960258702	7.534239008449774	3
25	51	14.795226443196738	1.6065756230076693	3
26	51	65.51103806705972	44.757673338566136	3
27	51	63.02839800436525	43.585831733655276	3
28	51	38.5471246513918	26.99187932491678	3
29	51	20.92378382173631	16.9678043602983	3
30	51	7.270808931008335	2.606315546548481	3
31	51	33.88939315591901	23.442124132282295	3
32	51	33.80847045863277	24.129186143220636	3
33	51	16.24830807151813	1.9967637188878258	3
34	51	93.60482518517594	75.9864230303495	3
35	51	34.01709323133283	25.961890396888382	3
36	51	35.67489635512749	26.520678731715307	3
37	51	50.83850372723839	14.335492552533092	3
38	51	7.998142637030771	0.8740300765714436	3
39	51	72.90347192318795	50.10544884751516	3
40	51	32.054612452886246	24.88438130085281	3
41	51	5.9758943278043715	2.2200911828909855	3
42	51	70.2957474346162	48.2416611387767	3
